Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
"C1, C3",C2012X5R1H105M085AB,2
C2,C1005X7S2A103K050BB,1
C4,UMK325BJ106MM-T,1
C5,GRM155R60J106ME44D,1
C6,GRM155R70J104KA01D,1
C7,GRM155R60J475ME47D,1
C8,GRJ32DC72A475KE11L,1
D1,LTST-C193TGKT-5A,1
D2,LTST-C193TBKT-5A,1
JP1,B5B-PH-K-S(LF)(SN),1
JP2,B2B-PH-K-S(LF)(SN),1
L1,SDR0604-470KL,1
Q1,Si2319DS-T1-E3 #PBF,1
R1,RK73H1ETTP5622F,1
R2,RK73H1ETTP1002F,1
R3,NRC06F3012TRF,1
R4,RK73H1ETTP1001F,1
U1,LTM8042EV#PBF,1
U2,DAC121C085,1
U3,LM5165YDRCR,1